DISTRITO,PROVINCIA,LAT_DIST,LON_DIST
OMATE,GENERAL SANCHEZ CERRO,-16.6739158,-70.9701077
UBINAS,GENERAL SANCHEZ CERRO,-16.3867174,-70.8558927
PUQUINA,GENERAL SANCHEZ CERRO,-16.6255275,-71.1844079
COALAQUE,GENERAL SANCHEZ CERRO,-16.6489508,-71.0208944
YUNGA,GENERAL SANCHEZ CERRO,-16.1951918,-70.6781032
MATALAQUE,GENERAL SANCHEZ CERRO,-16.4819546,-70.8261709
LA CAPILLA,GENERAL SANCHEZ CERRO,-16.7569598,-71.1793779
ILO,ILO,-17.6458772,-71.3452005
PACOCHA,ILO,-17.4371991,-71.3472543
MOQUEGUA,MARISCAL NIETO,-17.1938025,-70.9345636
SAN ANTONIO,MARISCAL NIETO,-17.2081143,-70.9501525
TORATA,MARISCAL NIETO,-17.0765697,-70.8443485
SAMEGUA,MARISCAL NIETO,-17.181909,-70.8999491
CARUMAS,MARISCAL NIETO,-16.8092911,-70.6948053
SAN CRISTOBAL,MARISCAL NIETO,-16.6697938,-70.6662215
CUCHUMBAYA,MARISCAL NIETO,-16.7509756,-70.6861433
LLOQUE,GENERAL SANCHEZ CERRO,-16.3239594,-70.7386413
CHOJATA,GENERAL SANCHEZ CERRO,-16.3884944,-70.7302805
MARISCAL NIETO,MARISCAL NIETO,-17.1928873,-70.9270674
ICHUÑA,GENERAL SANCHEZ CERRO,-16.1409914,-70.5376837
LA PERLA,CALLAO,-12.0716034,-77.1173892
BELLAVISTA,CALLAO,-12.0597362,-77.1111612
VENTANILLA,CALLAO,-11.8846444,-77.1230803
CALLAO,CALLAO,-12.0522626,-77.1391133
CARMEN DE LA LEGUA REYNOSO,CALLAO,-12.0430586,-77.0908775
LA PUNTA,CALLAO,-12.0708597,-77.1630399
MI PERU,CALLAO,-11.8535764,-77.1203113
VENTANILLA,VENTANILLA,-11.8719834,-77.1222038
MANU,MANU,-12.3870413,-71.5115649
FITZCARRALD,MANU,-12.0164673,-70.9139793
HUEPETUHE,MANU,-12.9944387,-70.5269739
MADRE DE DIOS,MANU,-12.6672461,-70.6339897
IBERIA,TAHUAMANU,-11.4070896,-69.4892093
IÑAPARI,TAHUAMANU,-10.9470805,-69.5761211
TAHUAMANU,TAHUAMANU,-11.6296573,-69.9594905
TAMBOPATA,TAMBOPATA,-12.187271,-69.8479162
INAMBARI,TAMBOPATA,-12.9734018,-69.9280397
LABERINTO,TAMBOPATA,-12.3958812,-70.1366235
LAS PIEDRAS,TAMBOPATA,-12.2789796,-69.1508022
VISCHONGO,VILCAS HUAMAN,-13.589164,-73.9950577
ANDRES AVELINO CACERES DORREGARAY,HUAMANGA,-13.1542569,-74.199401
CANGALLO,CANGALLO,-13.6293556,-74.1435896
LURICOCHA,HUANTA,-12.8992971,-74.2740319
CHUSCHI,CANGALLO,-13.5850271,-74.3520026
LOS MOROCHUCOS,CANGALLO,-13.4957129,-74.2175281
MARIA PARADO DE BELLIDO,CANGALLO,-13.5589775,-74.2959621
JESUS NAZARENO,HUAMANGA,-13.1231549,-74.2020312
AYACUCHO,HUAMANGA,-13.1604269,-74.2256973
SAN JUAN BAUTISTA,HUAMANGA,-13.2028359,-74.2135037
CARMEN ALTO,HUAMANGA,-13.2051965,-74.243038
HUAMANGA,HUAMANGA,-13.1604269,-74.2256973
VINCHOS,HUAMANGA,-13.2419722,-74.3542792
TAMBILLO,HUAMANGA,-13.1945296,-74.1110216
ACOCRO,HUAMANGA,-13.2191349,-74.0419472
OCROS,HUAMANGA,-13.3909666,-73.9153448
PARAS,CANGALLO,-13.5525049,-74.6274189
SOCOS,HUAMANGA,-13.2146111,-74.2891989
ACOS VINCHOS,HUAMANGA,-13.119796,-74.0675347
QUINUA,HUAMANGA,-13.0489862,-74.139323
VILCANCHOS,VICTOR FAJARDO,-13.6112354,-74.532601
CHIARA,HUAMANGA,-13.2732192,-74.205806
TOTOS,CANGALLO,-13.5678812,-74.5228823
SAN JOSE DE TICLLAS,HUAMANGA,-13.1188952,-74.3241155
SANTIAGO DE PISCHA,HUAMANGA,-13.0648322,-74.3040636
PACAYCASA,HUAMANGA,-13.057084,-74.2145977
HUANCASANCOS,HUANCASANCOS,-13.9199117,-74.3338727
HUANTA,HUANTA,-12.9398882,-74.2479531
CANAYRE,HUANTA,-12.3267139,-74.0420311
LLOCHEGUA,HUANTA,-12.4097623,-73.9060381
SANTILLANA,HUANTA,-12.7095452,-74.2776226
PUCACOLPA,HUANTA,-12.3108798,-74.3521695
SIVIA,HUANTA,-12.5115862,-73.8588
HUAMANGUILLA,HUANTA,-13.0112488,-74.1734964
CHACA,HUANTA,-12.7843999,-74.2058707
UCHURACCAY,HUANTA,-12.8269938,-74.1115777
AYAHUANCO,HUANTA,-12.6330163,-74.2911392
PUTIS,HUANTA,-12.6084196,-74.1912406
IGUAIN,HUANTA,-12.9768506,-74.2063522
SANTA ROSA,LA MAR,-12.6881982,-73.7354531
SAMUGARI,LA MAR,-12.839777,-73.6944194
AYNA,LA MAR,-12.7248189,-73.90596
SAN MIGUEL,LA MAR,-13.0126048,-73.9810178
UNION PROGRESO,LA MAR,-12.92785,-73.5595851
ANCO,LA MAR,-13.11681,-73.6904625
ANCHIHUAY,LA MAR,-12.8633126,-73.581673
ORONCCOY,LA MAR,-13.3807655,-73.4358917
LUIS CARRANZA,LA MAR,-13.2429701,-73.8808127
CHUNGUI,LA MAR,-13.2220319,-73.621572
TAMBO,LA MAR,-12.9481515,-74.0201903
PATIBAMBA,LA MAR,-13.0623293,-73.9418751
NINABAMBA,LA MAR,-13.0895924,-73.916184
LA MAR,LA MAR,-13.0886984,-73.9159295
CHILCAS,LA MAR,-13.1714014,-73.9067773
RIO MAGDALENA,LA MAR,-12.8750776,-73.6587437
PUQUIO,LUCANAS,-14.6940105,-74.1242183
CABANA,LUCANAS,-14.2885572,-73.9671215
HUAC-HUAS,LUCANAS,-14.1315439,-74.9421837
LUCANAS,LUCANAS,-14.6223061,-74.2334344
LARAMATE,LUCANAS,-14.2864145,-74.8427964
CHIPAO,LUCANAS,-14.3658713,-73.87626
AUCARA,LUCANAS,-14.2810472,-73.9748656
SANCOS,LUCANAS,-15.0625764,-73.9519436
SANTA LUCIA,LUCANAS,-14.9782125,-74.523762
OTOCA,LUCANAS,-14.4901743,-74.6864442
SAISA,LUCANAS,-14.9402449,-74.4167887
SAN CRISTOBAL,LUCANAS,-14.7431742,-74.2224412
SAN PEDRO DE PALCO,LUCANAS,-14.4119513,-74.6510319
SAN PEDRO,LUCANAS,-14.7671803,-74.0976631
OCAÑA,LUCANAS,-14.3986309,-74.8227486
CHAVIÑA,LUCANAS,-14.9794632,-73.8373748
SAN JUAN,LUCANAS,-14.6516137,-74.1988989
CARMEN SALCEDO,LUCANAS,-14.4527315,-73.9643101
LLAUTA,LUCANAS,-14.2437107,-74.9199697
LEONCIO PRADO,LUCANAS,-14.6889802,-74.6449483
SANTA ANA DE HUAYCAHUACHO,LUCANAS,-14.2267538,-73.9568416
CORACORA,PARINACOCHAS,-15.01682,-73.7806339
PULLO,PARINACOCHAS,-15.2103216,-73.8265885
CHUMPI,PARINACOCHAS,-15.0948144,-73.7481655
CORONEL CASTAÑEDA,PARINACOCHAS,-14.7734005,-73.1826283
PUYUSCA,PARINACOCHAS,-15.2779216,-73.5681304
PARINACOCHAS,PARINACOCHAS,-15.2489232,-73.5675344
PACAPAUSA,PARINACOCHAS,-14.9499497,-73.3678698
UPAHUACHO,PARINACOCHAS,-14.9071739,-73.3978382
SAN FRANCISCO DE RAVACAYCO,PARINACOCHAS,-14.9969767,-73.3513405
LAMPA,PAUCAR DEL SARA SARA,-15.1850858,-73.3485703
PAUSA,PAUCAR DEL SARA SARA,-15.2789471,-73.3443491
PAUCAR DEL SARA SARA,PAUCAR DEL SARA SARA,-15.2785094,-73.3441696
SAN JAVIER DE ALPABAMBA,PAUCAR DEL SARA SARA,-15.0566202,-73.3224254
SARA SARA,PAUCAR DEL SARA SARA,-15.2667373,-73.4535983
SAN JOSE DE USHUA,PAUCAR DEL SARA SARA,-15.2247933,-73.2267347
CORCULLA,PAUCAR DEL SARA SARA,-15.2631753,-73.2005622
MARCABAMBA,PAUCAR DEL SARA SARA,-15.1498207,-73.3413923
OYOLO,PAUCAR DEL SARA SARA,-15.1791581,-73.1850674
QUEROBAMBA,SUCRE,-14.0113112,-73.8388183
